pair,timeframe,direction,entry,exit,entry_time,exit_time,pips,pnl,lots,result,regime,confidence,capital
USD_JPY,M15,BUY,159.43699645996094,159.247675214495,2026-03-13 07:45:00+00:00,2026-03-13 09:00:00+00:00,-18.9,-114.54,0.85,LOSS,STRONG_TREND,0.625,10363.63
USD_JPY,M15,BUY,158.6230010986328,158.94658279418945,2026-03-20 09:15:00+00:00,2026-03-20 13:45:00+00:00,32.4,244.31,1.23,WIN,TREND,0.625,10607.94
USD_JPY,M15,BUY,158.6719970703125,159.13699913024902,2026-03-24 09:30:00+00:00,2026-03-24 17:00:00+00:00,46.5,255.69,0.88,WIN,TREND,0.625,10863.62
USD_JPY,M15,BUY,159.02099609375,159.40001623971122,2026-03-25 13:30:00+00:00,2026-03-25 18:45:00+00:00,37.9,258.13,1.1,WIN,TREND,0.625,11121.75
USD_JPY,M15,BUY,159.6269989013672,159.51321520124162,2026-03-26 12:45:00+00:00,2026-03-26 13:30:00+00:00,-11.4,-128.49,1.5,LOSS,TREND,0.625,10993.26
USD_JPY,M15,BUY,159.7760009765625,160.0302028656006,2026-03-27 07:00:00+00:00,2026-03-27 15:45:00+00:00,25.4,254.86,1.66,WIN,TREND,0.625,11248.13
USD_JPY,M15,BUY,159.5279998779297,159.9289722442627,2026-03-30 14:45:00+00:00,2026-03-31 00:30:00+00:00,40.1,268.85,1.08,WIN,STRONG_TREND,0.625,11516.97
USD_JPY,M15,BUY,159.7270050048828,159.60679626464844,2026-03-31 10:45:00+00:00,2026-03-31 11:00:00+00:00,-12.0,-132.06,1.47,LOSS,TREND,0.625,11384.91
USD_JPY,M15,BUY,159.58399963378906,159.47043010166712,2026-04-03 14:45:00+00:00,2026-04-06 07:45:00+00:00,-11.4,-131.7,1.54,LOSS,STRONG_TREND,0.625,11253.21
USD_JPY,M15,BUY,159.5500030517578,159.4435043334961,2026-04-06 11:45:00+00:00,2026-04-06 12:45:00+00:00,-10.6,-131.91,1.63,LOSS,STRONG_TREND,0.625,11121.31
USD_JPY,M15,SELL,159.4709930419922,159.57834843226843,2026-04-06 13:30:00+00:00,2026-04-06 14:45:00+00:00,-10.7,-129.55,1.59,LOSS,TREND,0.625,10991.75
USD_JPY,M15,BUY,159.6300048828125,159.47657884870256,2026-04-07 08:00:00+00:00,2026-04-07 08:45:00+00:00,-15.3,-122.57,1.1,LOSS,TREND,0.625,10869.18
USD_JPY,M15,BUY,159.97799682617188,159.83764484950476,2026-04-07 15:00:00+00:00,2026-04-07 16:00:00+00:00,-14.0,-122.49,1.19,LOSS,STRONG_TREND,0.625,10746.7
USD_JPY,M15,BUY,158.90899658203125,159.2151587350028,2026-04-09 07:15:00+00:00,2026-04-09 14:45:00+00:00,30.6,252.86,1.35,WIN,TREND,0.625,10999.56
USD_JPY,M15,BUY,159.26600646972656,159.15490232195174,2026-04-10 08:00:00+00:00,2026-04-10 11:45:00+00:00,-11.1,-127.55,1.52,LOSS,STRONG_TREND,0.625,10872.0
USD_JPY,M15,BUY,159.2740020751953,159.63560676574707,2026-04-10 16:15:00+00:00,2026-04-12 23:00:00+00:00,36.2,259.08,1.16,WIN,STRONG_TREND,0.625,11131.08
USD_JPY,M15,BUY,159.8419952392578,159.75992475237166,2026-04-13 11:45:00+00:00,2026-04-13 12:30:00+00:00,-8.2,-135.95,2.09,LOSS,TREND,0.625,10995.14
USD_JPY,M15,BUY,159.76199340820312,159.67456708635603,2026-04-13 12:30:00+00:00,2026-04-13 13:45:00+00:00,-8.7,-132.26,1.93,LOSS,TREND,0.625,10862.88
USD_JPY,M15,BUY,158.67100524902344,159.04707036699568,2026-04-14 14:00:00+00:00,2026-04-15 02:30:00+00:00,37.6,258.34,1.11,WIN,STRONG_TREND,0.625,11121.22
USD_JPY,M15,BUY,158.97300720214844,158.80093547276087,2026-04-15 10:45:00+00:00,2026-04-15 16:15:00+00:00,-17.2,-122.31,0.99,LOSS,TREND,0.625,10998.91
USD_JPY,M15,BUY,159.27499389648438,159.08545848301478,2026-04-16 17:15:00+00:00,2026-04-16 21:30:00+00:00,-19.0,-120.06,0.89,LOSS,STRONG_TREND,0.625,10878.85
USD_JPY,M15,BUY,159.3179931640625,159.20259748186385,2026-04-22 09:00:00+00:00,2026-04-22 10:45:00+00:00,-11.5,-125.73,1.45,LOSS,STRONG_TREND,0.625,10753.13
USD_JPY,M15,BUY,159.39300537109375,159.78862762451172,2026-04-22 15:00:00+00:00,2026-04-23 17:15:00+00:00,39.6,257.73,1.05,WIN,TREND,0.625,11010.85
USD_JPY,M15,BUY,159.718994140625,159.60510090419226,2026-04-24 08:45:00+00:00,2026-04-24 11:00:00+00:00,-11.4,-127.74,1.49,LOSS,STRONG_TREND,0.625,10883.12
USD_JPY,M15,BUY,159.4290008544922,159.31478554861886,2026-04-27 17:15:00+00:00,2026-04-28 00:00:00+00:00,-11.4,-126.33,1.47,LOSS,TREND,0.625,10756.78
USD_JPY,M15,BUY,159.74200439453125,159.9828085218157,2026-04-29 08:15:00+00:00,2026-04-29 13:00:00+00:00,24.1,249.1,1.72,WIN,STRONG_TREND,0.625,11005.88
USD_JPY,M15,BUY,159.97300720214844,160.18675013950892,2026-04-29 13:00:00+00:00,2026-04-29 13:45:00+00:00,21.4,251.92,1.98,WIN,TREND,0.625,11257.8
USD_JPY,M15,BUY,156.58700561523438,156.38697269984655,2026-05-01 12:45:00+00:00,2026-05-01 13:45:00+00:00,-20.0,-123.3,0.87,LOSS,TREND,0.625,11134.5
USD_JPY,H1,SELL,149.76800537109375,149.95025416782923,2023-10-02 17:00:00+00:00,2023-10-03 11:00:00+00:00,-18.2,-109.34,0.84,LOSS,STRONG_TREND,0.625,9890.66
USD_JPY,H1,BUY,149.9199981689453,149.7975300380162,2023-10-19 15:00:00+00:00,2023-10-19 16:00:00+00:00,-12.2,-113.22,1.24,LOSS,TREND,0.625,9777.45
USD_JPY,H1,BUY,149.73300170898438,149.6092485700335,2023-10-19 16:00:00+00:00,2023-10-23 18:00:00+00:00,-12.4,-112.41,1.22,LOSS,TREND,0.625,9665.04
USD_JPY,H1,BUY,149.9040069580078,150.13250051225936,2023-10-25 08:00:00+00:00,2023-10-25 20:00:00+00:00,22.8,223.02,1.63,WIN,TREND,0.625,9888.05
USD_JPY,H1,SELL,149.08599853515625,149.2986788068499,2023-10-30 14:00:00+00:00,2023-10-31 00:00:00+00:00,-21.3,-107.96,0.72,LOSS,TREND,0.625,9780.1
USD_JPY,H1,SELL,144.37399291992188,145.1739929199219,2023-12-08 12:00:00+00:00,2023-12-08 13:00:00+00:00,-80.0,-101.02,0.19,LOSS,STRONG_TREND,0.625,9679.07
USD_JPY,H1,BUY,150.74200439453125,150.6044316973005,2024-02-23 09:00:00+00:00,2024-02-23 12:00:00+00:00,-13.8,-109.21,1.08,LOSS,TREND,0.625,9569.86
USD_JPY,H1,BUY,151.47999572753906,151.24546214512415,2024-03-25 16:00:00+00:00,2024-03-26 01:00:00+00:00,-23.5,-103.41,0.63,LOSS,TREND,0.625,9466.45
USD_JPY,H1,BUY,151.38499450683594,151.81169155665808,2024-03-26 14:00:00+00:00,2024-03-27 02:00:00+00:00,42.7,225.81,0.85,WIN,TREND,0.625,9692.25
USD_JPY,H1,BUY,151.4510040283203,151.73787879943848,2024-04-01 12:00:00+00:00,2024-04-01 14:00:00+00:00,28.7,227.2,1.3,WIN,TREND,0.625,9919.45
USD_JPY,H1,BUY,151.67799377441406,151.94960294451033,2024-04-03 07:00:00+00:00,2024-04-03 13:00:00+00:00,27.2,230.78,1.4,WIN,STRONG_TREND,0.625,10150.24
USD_JPY,H1,SELL,151.66299438476562,151.29549598693848,2024-04-04 14:00:00+00:00,2024-04-04 18:00:00+00:00,36.7,240.8,1.06,WIN,TREND,0.625,10391.04
USD_JPY,H1,BUY,151.83900451660156,152.07096808297294,2024-04-10 07:00:00+00:00,2024-04-10 12:00:00+00:00,23.2,239.21,1.72,WIN,STRONG_TREND,0.625,10630.25
USD_JPY,H1,SELL,154.59100341796875,153.84983907427107,2024-04-16 14:00:00+00:00,2024-04-19 02:00:00+00:00,74.1,258.53,0.55,WIN,TREND,0.625,10888.78
USD_JPY,H1,BUY,154.76699829101562,154.63114057268416,2024-04-22 09:00:00+00:00,2024-04-23 13:00:00+00:00,-13.6,-123.01,1.23,LOSS,TREND,0.625,10765.77
USD_JPY,H1,BUY,154.8939971923828,154.77892848423548,2024-04-24 08:00:00+00:00,2024-04-24 12:00:00+00:00,-11.5,-124.55,1.44,LOSS,STRONG_TREND,0.625,10641.22
USD_JPY,H1,BUY,155.0019989013672,155.38609940665108,2024-04-24 14:00:00+00:00,2024-04-25 00:00:00+00:00,38.4,254.62,1.07,WIN,TREND,0.625,10895.85
USD_JPY,H1,SELL,154.51800537109375,152.78336715698242,2024-05-02 12:00:00+00:00,2024-05-03 01:00:00+00:00,173.5,267.8,0.24,WIN,STRONG_TREND,0.625,11163.64
USD_JPY,H1,BUY,156.8179931640625,156.64463969639368,2024-05-27 12:00:00+00:00,2024-05-28 03:00:00+00:00,-17.3,-123.14,0.99,LOSS,STRONG_TREND,0.625,11040.51
